misspelled,correct
'cause,because
0f,of
0me,me
0ne,one
0ones,ones
0ut,out
0ver,over
1'm,i'm
10nth,tenth
10nths,tenths
11o,110
12o,120
12ves,twelfths
13rd,1/3rd
15ns,15ths
15wich,15 which
18dived,18 divided
1can,i can
1divid,i divided
1half,one half
1is,1 is
1left,1 left
1nadd,1 and
1ns,ones
1o,10
1o/15,10/15
1out,1 out
1over,1 over
1quarter,one quarter
1rd,1st
1so,so
1then,1 then
1third,one third
1times,1 times
1tims,times
1twelth,twelfth
1under,1 under
24and,24 and
24by,24 by
24divided,24 divided
24split,24 split
2divided,2 divided
2ix,six
2o,20
2r,24
2rows,2 rows
2there,there
2times,2 times
2to,2 to
2which,2 which
2whichgets,2 which gets
2ys,twos
30and,30 and
3amd9,3 and 9
3and,3 and
3angles,3 angles
3are,3 are
3arent,3 aren't
3but,3 but
3d,3rd
3eights,three eighths
3fd,3rd
3fiths,3 fifths
3ird,third
3is,3 is
3nds,thirds
3nines,3 ninths
3o,30
3of,3 of
3out,3 out
3rds,thirds
3thd,third
3then,3 then
3thrd,third
3times,3 times
3you,3 you
48hours,48 hours
4is,4 is
4r,for
4rows,4 rows
4rs,fours
5and,5 and
5hink,think
5nis,5 is
5so,5 so
5then,5 then
5ths,fifths
5thsis,fifths
6.2mis,6.2 is
6.soething,6. something
6/15v,6/15
60and,60 and
60so,60 so
6divived,6 divided
6of,6 of
6out,6 out
6times,6 times
6which,6 which
6would,6 would
72and,72 and
72left,72 left
8t,it
8ths,eighths
90per,90 per
9and,9 and
9green,9 green
9inths,ninths
9is,9 is
9mini,9 mini
9peices,pieces
9thds,ninths
9thens,ninths
9ths,ninths
9traiangles,9 triangles
9triangles,9 triangles
9ts,ninths
@dd!ng,adding
]s,is
a bout,about
a cross,across
a other,another
a way,away
"a,so",also
a;;,all
aall,all
aan,an
abit,a bit
abiut,about
aboutt,about
abouve,above
accros,across
ach,each
acrualy,actually
actaully,actually
actualky,actually
actuallyy,actually
actualy,actually
actuslly,actually
adab,add
add ed,added
add's,adds
addative,additive
addd,add
addded,added
addedd,added
adden,added
addes,adds
addig,adding
addign,adding
addingg,adding
additionn,addition
addititve,additive
additoin,addition
additon,addition
addss,adds
addtion,addition
aded,added
adeed,added
adked,asked
adn,and
ads,adds
adsume,assume
ae,are
af,of
afractins,fractions
afterr,after
againto,again to
ageb,aged
ageis,ages
agen,again
agian,again
ahaded,shaded
ahd,and
ahev,have
ahppen,happen
aint',ain't
ajd,and
ake,take
akl,all
akmost,almost
al,all
ald,and
alf,half
algabra,algebra
algebric,algebraic
algibria,algebra
aline,align
alk,all
all most,almost
all ready,already
all though,although
all together,altogether
all ways,always
allebra,algebra
allgebra,algebra
alll,all
allrady,already
allready,already
allrede,already
alltogeather,altogether
alltogether,altogether
alltogrthour,altogether
allyogether,altogether
almostt,almost
alot,a lot
als,also
alsoo,also
alsthough,although
althogether,altogether
althougher,although
altigether,altogether
altoger,altogether
altogetherr,altogether
altogher,altogether
altoghether,altogether
altoghrther,altogether
altoghter,altogether
altoghther,altogether
altogther,altogether
alway,always
alwayss,always
amagine,imagine
amd,and
ammount,amount
amongg,among
amont,amount
amountt,amount
amout,amount
amoutns,amounts
amswer,answer
amultiple,a multiple
ana,and
anb,and
ancwer,answer
and3,and 3
and3of,and 3 of
andadd,and add
andbthen,and then
andd,and
andf,and
andgle,angle
andgot,and got
andif,and if
andit,and it
andminus,and minus
andwer,answer
andyour,and your
anegative,a negative
anegativge,negative
anent,aren't
anf,and
ang,and
angain,again
angel,angle
angenst,against
anglee,angle
angless,angles
anglr,angle
annd,and
anolomies,anomalies
anotherr,another
anough,enough
anound,around
ansa,answer
ansaw,answer
ansee,answer
anser,answer
ansera,answer
ansere,answer
ansers,answers
ansew,answer
ansewer,answer
anster,answer
answar,answer
answe,answer
answear,answer
answeerd,answered
answerb,answer
answere,answer
answeredd,answered
answerer,answer
answeris,answer is
answerr,answer
answerrd,answered
answerz,answer
answet,answer
answr,answer
answrr,answer
ant,and
anther,another
anwar,answer
anwer,answer
anwers,answers
anwser,answer
anwseris,answer is
any thing,anything
anythingg,anything
anywayyy,anyway
anyy,any
ao,so
aonyt,any
apartt,apart
apositive,a positive
appart,apart
appen,happen
applird,applied
approxmatlly,approximately
apropiout,appropriate
apropriate,appropriate
aquivalent,equivalent
ar'e,are
ara,are
are't,aren't
areaa,area
aree,are
aregreen,are green
aren t,aren't
"aren""t",aren't
arent,aren't
arentt,aren't
areunder,are under
arew,are
arfte,after
arfter,after
army,are
arn't,aren't
arnser,answer
arnt,aren't
aroun,around
arr,are
ars,are
arwnser,answer
asa,as a
asding,adding
askes,asks
asnwer,answer
asnwers,answers
assumee,assume
asure,sure
aswear,answer
aswell,as well
aswer,answer
asx,as
at's,that's
aten,ate
atleast,at least
atmos,atmost
aut,out
avalible,available
ave,have
avery,every
awawy,away
awaying,away
awayy,away
awenser,answer
awhile,a whole
awnsa,answer
awnsaw,answer
awnser,answer
awnsered,answered
awnserr,answer
awnsers,answers
awnswer,answer
awnswre,answer
awser,answer
awsner,answer
awsome,awesome
awsy,away
aĺl,all
a’s,as
b9th,both
b=ecuase,because
b@lls,balls
bacause,because
backk,back
backwords,backwards
bacuse,because
badd,bad
baet,beat
baissacly,basically
balles,balls
ballls,balls
bals,balls
bannana,banana
barmodle,bar model
basally,basically
basicalky,basically
basicallyy,basically
basicaly,basically
basicly,basically
bast,best
bay,by
bc,because
bcas,because
bcause,because
bcc,because
bcecausx,because
bcome,become
bcs,because
bdecause,because
be ause,because
be cause,because
be=racket,bracket
beacase,because
beacause,because
beacause24,because 24
beacouse,because
beacsue,because
beacuae,because
beacuase,because
beacude,because
beacue,because
beacus,because
beacuse,because
beau e,because
beaucuse,because
beause,because
bebues,because
bec,because
beca,because
beca use,because
becaause,because
becacuse,because
becaise,because
becas,because
becase,because
becaseue,because
becaseuits,because its
becasue,because
becasuse,because
becau,because
becauae,because
becauase,because
becaucse,because
becaude,because
becaue,because
becaues,because
becauese,because
becauise,because
becaus,because
becaus e,because
becaus3,because
becaus3e,because
becausde,because
because1,because 1
because2,because 2
because24,because 24
because3,because 3
because5,because 5
becauseall,because all
becauseb,because
becauseb5,because
becausection,because
becaused,because
becausee,because
becausei,because
becauser,because
becauses,because
becausev,because
becausew,because
becausr,because
becausse,because
becausue,because
becauswe,because
becausy,because
becauuse,because
becayse,because
beccause,because
beccuase,because
becduase,because
becease,because
beces,because
becoes,becomes
becom,become
becomee,become
becomess,becomes
becones,becomes
becos,because
becose,because
becoseus,because
becous,because
becouse,because
becousse,because
becquw,because
becsause,because
becsue,because
becsuse,because
becuace,because
becuacse,because
becuase,because
becues,because
becuese,because
becus,because
becusde,because
becuse,because
becusee,because
becuz,because
becvause,because
bedcause,because
bedt,best
bee,been
beenn,been
befause,because
befor,before
before3,before 3
begger,bigger
beggining,beginning
beicase,because
beigger,bigger
beimg,being
beinbg,being
beingg,being
bekas,because
bekos,because
beleive,believe
believee,believe
believr,believe
belirve,believe
belive,believe
belives,believes
bellow,below
beltiplied,multiplied
ben,been
benn,been
beomes,becomes
beond,beyond
bescause,because
betterr,better
betwee,between
betweenn,between
betwren,between
beucass,because
beues,because
beuse,because
beva8se,because
bevause,because
bevcause,because
bevcausei,because i
bevomes,becomes
bexcasue,because
bexcuse,because
bey,by
bi,by
bicase,because
bicause,because
bidmaths,did maths
biger,bigger
bigest,biggest
bigge,bigger
biggedt,biggest
biggerr,bigger
biggestt,biggest
biggrst,biggest
bigiset,biggest
bigist,biggest
biik,book
bin,been
binger,bigger
bith,both
bitt,bit
bittom,bottom
bittome,bottom
biuld,build
bivid,divide
bivided,divided
blanck,blank
bleu,blue
blly,bully
blockd,blocks
bo,do
boad,board
boaf,both
boafe,both
boarf,both
boath,both
boi,boy
boiiiiii,boy
bone,done
boos,both
bor,both
bord,board
botem,bottom
boten,bottom
botg,both
bothe,both
bothh,both
bothnumbers,both numbers
botm,bottom
botom,bottom
bottam,bottom
bottem,bottom
bottems,bottoms
botten,bottom
bottim,bottom
botto,bottom
bottomm,bottom
botton,bottom
botttom,bottom
bottum,bottom
boxess,boxes
boxx,box
bracets,brackets
bracketes,brackets
bracketts,brackets
brackits,brackets
brakets,brackets
brav,bravo
brcause,because
brcome,become
brcomes,becomes
brcsue,because
breakk,break
bren,been
brlieve,believe
brtween,between
bucuse,because
buid,build
bulid,build
buss,bus
busstop,bus stop
bust,bus
bustop,bus stop
buts,but
butt,but
buulds,builds
buy,by
bw,be
bwcause,because
bwholes,wholes
by3,by 3
by5,by 5
by5and,by 5 and
byb12,by 12
bye,by
byh,by
bythe,by the
c.hange,change
c9mplete,complete
cack,cake
cacluctaed,calculated
caculated,calculated
caculation,calculation
cade,case
caiculated,calculated
cakee,cake
cal,calculate
cal culate,calculate
calcuateon,calculation
calcuation,calculation
calcukate,calculate
calculatd,calculated
calculationed,calculated
calculatted,calculated
calss,class
caluation,calculation
caluclate,calculate
caluclated,calculated
calulate,calculate
calulation,calculation
calulations,calculations
calvulation,calculation
cam,can
camcel,cancel
camee,came
cameroooon,cameroon
can',can't
can' t,can't
cancell,cancel
cancells,cancels
cancil,cancel
cancle,cancel
cancled,canceled
cang,change
cangd,changed
cann,can
cannnot,cannot
cannott,cannot
cant,can't
cantied,counted
cant’,can't
can’ t,can't
carfully,carefully
carnt,can't
casu,because
catapilator,caterpillar
caucltition,calculation
cauculating,calculating
caulculation,calculation
caunlt,count
caunt,count
caus,because
cause,because
causr,because
cauuuuuuseeeeeeeeeee,because
cawculachon,calculation
cbook,book
ceartin,certain
cecause,because
ceep,keep
certaintyy,certainty
certian,certain
certin,certain
certinty,certainty
cfjfjfjhfhfhhghhgonfident,confident
chainn,chain
chamge,change
chan,chance
chanc,chance
chancee,chance
chancr,chance
chang,change
changee,change
changer,changed
chanve,chance
che,the
checht,checked
chiken,chicken
chinc,chance
chnaged,changed
chnge,change
choce,chose
choises,choices
chosee,chose
chosr,chose
cice,ice
cimmon,common
cind,kind
cinvert,convert
cinverted,converted
circumfurence,circumference
cirtain,certain
cit,cut
ciunted,counted
ciynt,count
claer,clear
clearr,clear
cleu,clue
clise,close
clisest,closest
cloest,closest
clos,close
closee,close
closeest,closest
closerr,closer
closes,closest
closestt,closest
closet,closest
closets,closest
closley,closely
closr,closer
closrst,closest
clossest,closest
clotist,closest
clouse,close
clu,clue
clunt,count
co,so
co0nvert,convert
coilerd,colored
colam,column
colams,columns
colaurd,coloured
cold,could
colem,column
colems,columns
colerd,colored
coliured,coloured
collem,column
collemn,column
collems,columns
collom,column
colloms,columns
collonm,column
colloum,column
collum,column
collumb,column
collumn,column
collumns,columns
colom,column
colomm,column
colomn,column
coloms,columns
coloredd,colored
colorrd,colored
coloum,column
coloumn,column
coloums,columns
colourd,coloured
colourer,colored
colse,close
colum,column
colume,column
colums,columns
colun,column
colunm,column
colured,coloured
colures,colours
coman,common
comed,came
comen,common
comfused,confused
comin,common
comletly,completely
comman,common
commen,common
comming,common
commo,common
commom,common
commonn,common
commun,common
commutitive,commutative
comn,common
comnutitativity,commutativity
comon,common
comparedd,compared
comparingg,comparing
completly,completely
comvert,convert
con vert,convert
con vertex,convert
cone,come
conegts,connects
coners,corners
confdent,confident
conferdend,concerned
confuesed,confused
confuveld,confused
conman,common
consequtive,consecutive
consil,cancel
cont,count
conted,counted
conters,counters
conting,counting
continueing,continuing
continúen,continue
conver,convert
converte,convert
convertided,converted
convertions,conversions
convertthe,convert the
convrrt,convert
coonverting,converting
corect,correct
coret,correct
corodinites,coordinates
corrcet,correct
correc,correct
correcet,correct
correctlyy,correctly
correctt,correct
correvt,correct
corrext,correct
corrrct,correct
corrrect,correct
cos,because
cosest,closest
cot,got
couculashin,calculation
couculated,calculated
coudnt,couldn't
coukd,could
couldd,could
couldnt,couldn't
couled,colored
coulerd,colored
coulerded,colored
coulered,colored
coulers,colors
coulmn,column
coulom,column
coulored,colored
couloum,column
couloumn,column
couloured,colored
coulred,colored
coumted,counted
coun,count
councelled,cancelled
counded,counted
couned,counted
counnters,counters
countedd,counted
countedthe,counted the
counteed,counted
counten,counted
counterso,counters
counterss,counters
countimg,counting
countingg,counting
countiters,counters
countt,count
courled,colored
court,count
couted,counted
couters,counters
covert,convert
coverted,converted
coverting,converting
cownteri,cownters
cowton,cotton
coz,because
crate,create
creats,creates
cretet,correct
csn,can
csnnot,cannot
cus,because
cuz,because
cuzz,because
cworts,quarts
cymbal,symbol
d0ne,done
da,the
dame,same
danominantor,denominator
dasame,the same
dat,that
dataa,data
dats,that's
dawn,down
dayz,days
ddenimater,denominator
decagin,decagon
decagom,decagon
decagonn,decagon
decamail,decimal
decanoon,decagon
decas,because
decgons,decagons
deciamels,decimals
decide,divide
deciding,dividing
decimaks,decimals
decimall,decimal
decimalls,decimals
decimalss,decimals
decimle,decimal
decmails,decimals
decmal,decimal
decogan,decagon
decogen,decagon
decogon,decagon
decrasing,decreasing
decágona,decagon
dedivide,divide
dedominater,denominator
dee,see
defanant,definite
defenetly,definitely
defenite,definite
definate,definite
definately,definitely
definent,definite
definetly,definitely
definitly,definitely
deggrees,degrees
degress,degrees
deiomantor,denominator
deived,divided
deminater,denominator
deminator,denominator
demoinator,denominator
demomenator,denominator
demomimater,denominator
demominator,denominator
demominators,denominators
demomitor,denominator
demonanater,denominator
demonanaterr,denominator
demonater,denominator
demonator,denominator
demonators,denominators
demoniaters,denominators
demoniator,denominator
demoniators,denominators
demonietor,denominator
demonimater,denominator
demonimator,denominator
demoninator,denominator
demoninators,denominators
demoniter,denominator
demonitor,denominator
demononeter,denominator
demounimater,denominator
deneominator,denominator
denimimnator,denominator
deniminator,denominator
denimnater,denominator
denimnator,denominator
denimonator,denominator
denimoninator,denominator
denimontor,denominator
deninators,denominators
denminator,denominator
denmominator,denominator
deno,denominator
denoinator,denominator
denom,denominator
denomanaior,denominator
denomanater,denominator
denomanaters,denominators
denomanatoir,denominator
denomanator,denominator
denomanators,denominators
denomanitor,denominator
denomanotor,denominator
denomanotrs,denominators
denomantor,denominator
denomater,denominator
denomatior,denominator
denomator,denominator
denomators,denominators
denomenater,denominator
denomenator,denominator
denomenators,denominators
denomentator,denominator
denomentators,denominators
denomerator,denominator
denomernatier,denominator
denometer,denominator
denometor,denominator
denomiantors,denominators
denomiator,denominator
denomimator,denominator
denomimators,denominators
denomiminators,denominators
denominaqtor,denominator
denominar,denominator
denominatar,denominator
denominate,denominator
denominated,denominator
denominateor,denominator
denominateors,denominators
denominater,denominator
denominaters,denominators
denominatior,denominator
denominatiors,denominators
denominatir,denominator
denominato,denominator
denominatoer,denominator
denominatoess,denominators
denominatore,denominator
denominatorr,denominator
denominatorss,denominators
denominatortors,denominators
denominer,denominator
denomineyer,denominator
denomininator,denominator
denominitor,denominator
denominotor,denominator
denominstor,denominator
denominta,denominator
denomintaor,denominator
denomintator,denominator
denominter,denominator
denomintor,denominator
denomirator,denominator
denomitators,denominators
denomiter,denominator
denomitor,denominator
denomitors,denominators
denomnater,denominator
denomnator,denominator
denomnayer,denominator
denomoinator,denominator
denomonater,denominator
denomonator,denominator
denomonators,denominators
denomorator,denominator
denomter,denominator
denomunator,denominator
denonamator,denominator
denonanator,denominator
denonmaiter,denominator
denonminatar,denominator
denonminater,denominator
denos,denominators
denotator,denominator
denotinar,denominator
denum,denominator
denumerator,denominator
denuminators,denominators
deomanator,denominator
deomeaters,denominators
depagon,decagon
desamils,decimals
descused,discussed
desemal,decimal
desemel,decimal
desimal,decimal
desimall,decimal
desimals,decimals
desmal,decimal
detauled,detailed
determinator,denominator
deveded,divided
deveided,divided
deveining,dividing
devid,divide
devide,divide
devided,divided
devidid,divided
devidied,divided
deviding,dividing
devied,divided
devieded,divided
devisable,divisible
devite,divide
devived,divided
devi’s,divide
dhaded,shaded
dhape,shape
dhole,whole
dhows,shows
di vided,divided
diagramm,diagram
diaqgram,diagram
dibided,divided
dicided,divided
dicsimall,decimal
didd,did
dide,side
dided,sided
didgets,digits
didgit,digit
didgits,digits
didis,digits
didit,digit
didits,digits
didnr,didn't
didnt,didn't
didvide,divide
didvided,divided
didvideequally,divided equally
didvied,divided
diferret,different
differance,difference
differant,different
differcne,difference
differen- ce,difference
differencee,difference
differrnce,difference
differt,different
diffrance,difference
diffreance,difference
diffrence,difference
diffrent,different
difrence,difference
difrent,different
digest,digit
digests,digits
digets,digits
dight,digit
digi,digit
digram,diagram
dimnominators,denominators
dimoninater,denominator
dimplest,simplest
dimplified,simplified
dimplify,simplify
dinoinator,denominator
dinomanator,denominator
dinomanatures,denominators
dinomarator,denominator
dinomater,denominator
dinometer,denominator
dinomianter,denominator
dinomiator,denominator
dinominata,denominator
dinominater,denominator
dinominator,denominator
dinominators,denominators
dinominters,denominators
dinomitet,denominator
dinomnater,denominator
dinomonaiter,denominator
dint,didn't
dinvited,divided
direscshons,directions
dis,this
dits,dots
divaed,divided
divde,divide
divded,divided
divding,dividing
dive,divide
dived,divided
divedby,divided by
divede,divide
diveded,divided
divee,divided
diveidid,divided
diveied,divided
divid,divide
dividable,divisible
dividd,divided
dividded,divided
divideable,divisible
divideby,divide by
dividedby,divided by
dividedd,divided
dividede,divided
dividee,divide
divideed,divided
dividen,divide
dividend,divided
dividesd,divided
dividex,divided
dividid,divided
dividided,divided
dividied,divided
dividig,dividing
dividind,dividing
dividr,divide
dividrd,divided
dividung,dividing
dividv,divide
dividy,divide
divied,divided
diviedby,divided by
diviede,divide
divieded,divided
divinding,dividing
divine,divided
diving,dividing
divisable,divisible
divisble,divisible
divised,divided
diviseded,divided
diviser,divisor
divisiblee,divisible
divisionn,division
divison,division
divode,divide
divude,divide
divuded,divided
diwn,down
dix,six
dlight,slight
dnd,and
dnomanator,denominator
dnomnatiors,denominators
dnt,don't
dobal,double
dobble,double
dobled,doubled
dobling,doubling
doe,does
doent,doesn't
doesent,doesn't
doesnt,doesn't
doesn’,doesn't
doesn’s,doesn't
doess,does
domanater,denominator
domanator,denominator
domantater,denominator
dominaner,denominator
dominates,denominators
dominators,denominators
dominotars,denominators
domminater,denominator
domoniator,denominator
domoniators,denominators
domoninator,denominator
don;t,don't
don`t,don't
donaminator,denominator
donamtier,denominator
donee,done
donig,doing
donimater,denominator
doniminator,denominator
doniminators,denominators
donimnater,denominator
donminator,denominator
donn't,don't
donomanaters,denominators
donomernaters,denominators
donometer,denominator
donomiator,denominator
donominaor,denominator
donominater,denominator
donominator,denominator
donominators,denominators
donomintors,denominators
donomonator,denominator
dont,don't
dont'n,don't
dontt,don't
donuminater,denominator
don’l,don't
dooing,doing
doooo,do
doouble,double
dose,does
dose'nt,doesn't
dosen't,doesn't
dosent,doesn't
dosn't,doesn't
dosnnt,doesn't
dosnt,doesn't
dotd,dots
dote,dots
doted,dotted
